username,repo_name,stars,repo_url
Genymobile,scrcpy,49200,https://github.com/Genymobile/scrcpy
neovim,neovim,44000,https://github.com/neovim/neovim
git,git,38100,https://github.com/git/git
fffaraz,awesome-cpp,31600,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,28200,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,26000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,24900,https://github.com/FFmpeg/FFmpeg
vim,vim,23900,https://github.com/vim/vim
ggreer,the_silver_searcher,22000,https://github.com/ggreer/the_silver_searcher
curl,curl,20800,https://github.com/curl/curl
huihut,interview,18800,https://github.com/huihut/interview
ruby,ruby,18200,https://github.com/ruby/ruby
google,flatbuffers,16300,https://github.com/google/flatbuffers
oracle,graal,15300,https://github.com/oracle/graal
mpv-player,mpv,15200,https://github.com/mpv-player/mpv
pbatard,rufus,14800,https://github.com/pbatard/rufus
radareorg,radare2,14500,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14400,https://github.com/shadowsocks/shadowsocks-libev
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
allinurl,goaccess,13300,https://github.com/allinurl/goaccess
microsoft,vcpkg,12800,https://github.com/microsoft/vcpkg
facebook,infer,12300,https://github.com/facebook/infer
jarun,nnn,11500,https://github.com/jarun/nnn
kovidgoyal,kitty,11500,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11400,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10300,https://github.com/s-matyukevich/raspberry-pi-os
jonas,tig,10000,https://github.com/jonas/tig
hashcat,hashcat,9900,https://github.com/hashcat/hashcat
qmk,qmk_firmware,9700,https://github.com/qmk/qmk_firmware
OpenRCT2,OpenRCT2,9500,https://github.com/OpenRCT2/OpenRCT2
